flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,aircraft
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-05-22T03:45:00+00:00,2026-05-22T03:45:00+00:00,,,,Franz Josef Strauss,Europe/Berlin,MUC,EDDM,2,I44,,2026-05-22T05:30:00+00:00,,,,,,All Nippon Airways,NH,ANA,6114,NH6114,ANA6114,lufthansa,lh,dlh,1743,lh1743,dlh1743,,,,3C648D,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,D8,,2026-05-22T02:25:00+00:00,2026-05-22T02:25:00+00:00,,,,Kansai International,Asia/Tokyo,KIX,RJBB,1,,,2026-05-22T19:05:00+00:00,,,,,,All Nippon Airways,NH,ANA,6646,NH6646,ANA6646,turkish airlines,tk,thy,86,tk86,thy86,,,,4BB192,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,F15,,2026-05-22T02:15:00+00:00,2026-05-22T02:15:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,,2026-05-22T19:10:00+00:00,,,,,,Philippine Airlines,PR,PAL,3788,PR3788,PAL3788,turkish airlines,tk,thy,84,tk84,thy84,,,,4BA952,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,A1E,,2026-05-22T02:10:00+00:00,2026-05-22T02:10:00+00:00,,,,Noibai International,Asia/Ho_Chi_Minh,HAN,VVNB,T2,,,2026-05-22T15:40:00+00:00,,,,,,Vietnam Airlines,VN,HVN,3084,VN3084,HVN3084,turkish airlines,tk,thy,164,tk164,thy164,,,,4BB102,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,B14,,2026-05-22T02:05:00+00:00,2026-05-22T02:05:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,,2026-05-22T19:20:00+00:00,,,,,,All Nippon Airways,NH,ANA,6636,NH6636,ANA6636,turkish airlines,tk,thy,198,tk198,thy198,,,,4BA948,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,B14,,2026-05-22T02:05:00+00:00,2026-05-22T02:05:00+00:00,,,,Haneda Airport,Asia/Tokyo,HND,RJTT,3,,,2026-05-22T19:20:00+00:00,,,,,,Egyptair,MS,MSR,9362,MS9362,MSR9362,turkish airlines,tk,thy,198,tk198,thy198,,,,4BA948,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,F16,,2026-05-22T01:55:00+00:00,2026-05-22T01:55:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-05-22T15:25:00+00:00,,,,,,Thai Airways,TG,THA,7544,TG7544,THA7544,turkish airlines,tk,thy,68,tk68,thy68,,,,4BB0F2,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-05-22T01:55:00+00:00,2026-05-22T01:55:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,,,2026-05-22T17:55:00+00:00,20.0,,,,,Singapore Airlines,SQ,SIA,6266,SQ6266,SIA6266,turkish airlines,tk,thy,54,tk54,thy54,,,,4BA947,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,A1J,,2026-05-22T01:50:00+00:00,2026-05-22T01:50:00+00:00,,,,Miami International Airport,America/New_York,MIA,KMIA,,,,2026-05-22T07:10:00+00:00,,,,,,Pakistan International Airlines,PK,PIA,5157,PK5157,PIA5157,turkish airlines,tk,thy,157,tk157,thy157,,,,4BB18B,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,A1J,,2026-05-22T01:50:00+00:00,2026-05-22T01:50:00+00:00,,,,Miami International Airport,America/New_York,MIA,KMIA,,,,2026-05-22T07:10:00+00:00,,,,,,IndiGo,6E,IGO,4031,6E4031,IGO4031,turkish airlines,tk,thy,157,tk157,thy157,,,,4BB18B,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,D10,,2026-05-22T01:50:00+00:00,2026-05-22T01:50:00+00:00,,,,Tan Son Nhat International,Asia/Ho_Chi_Minh,SGN,VVTS,2,,,2026-05-22T16:10:00+00:00,,,,,,Vietnam Airlines,VN,HVN,3082,VN3082,HVN3082,turkish airlines,tk,thy,162,tk162,thy162,,,,4BB0EA,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,A1G,,2026-05-22T01:50:00+00:00,2026-05-22T01:50:00+00:00,,,,Phuket International,Asia/Bangkok,HKT,VTSP,D,,4,2026-05-22T15:20:00+00:00,,,,,,Thai Airways,TG,THA,7546,TG7546,THA7546,turkish airlines,tk,thy,172,tk172,thy172,,,,4BA9D0,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,B14,,2026-05-22T01:50:00+00:00,2026-05-22T01:50:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,1,41,18,2026-05-22T17:40:00+00:00,60.0,,,,,Asiana Airlines,OZ,AAR,6932,OZ6932,AAR6932,turkish airlines,tk,thy,90,tk90,thy90,,,,4BB147,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,F18,,2026-05-22T01:45:00+00:00,2026-05-22T01:45:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,3,,,2026-05-22T17:35:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9095,GA9095,GIA9095,turkish airlines,tk,thy,56,tk56,thy56,,,,4BB0EF,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,D17,,2026-05-22T01:45:00+00:00,2026-05-22T01:45:00+00:00,,,,Cape Town International,Africa/Johannesburg,CPT,FACT,,A5,,2026-05-22T11:50:00+00:00,,,,,,Thai Airways,TG,THA,9172,TG9172,THA9172,turkish airlines,tk,thy,44,tk44,thy44,,,,4BB0EE,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,D17,,2026-05-22T01:45:00+00:00,2026-05-22T01:45:00+00:00,,,,Cape Town International,Africa/Johannesburg,CPT,FACT,,A5,,2026-05-22T11:50:00+00:00,,,,,,IndiGo,6E,IGO,4327,6E4327,IGO4327,turkish airlines,tk,thy,44,tk44,thy44,,,,4BB0EE,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,I,,,2026-05-22T01:40:00+00:00,2026-05-22T01:40:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,42,2026-05-22T15:35:00+00:00,118.0,,,,,Air China,CA,CCA,5232,CA5232,CCA5232,turkish airlines,tk,thy,88,tk88,thy88,,,,,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,B16,,2026-05-22T01:40:00+00:00,2026-05-22T01:40:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,,,2026-05-22T10:30:00+00:00,,,,,,Thai Airways,TG,THA,9170,TG9170,THA9170,turkish airlines,tk,thy,42,tk42,thy42,,,,4BB0F4,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,B16,,2026-05-22T01:40:00+00:00,2026-05-22T01:40:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,,,2026-05-22T10:30:00+00:00,,,,,,IndiGo,6E,IGO,4325,6E4325,IGO4325,turkish airlines,tk,thy,42,tk42,thy42,,,,4BB0F4,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,F13,,2026-05-22T01:40:00+00:00,2026-05-22T01:40:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,C15,,2026-05-22T17:15:00+00:00,,,,,,Batik Air Malaysia,OD,MXD,9200,OD9200,MXD9200,turkish airlines,tk,thy,60,tk60,thy60,,,,4BB0E1,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,F13,,2026-05-22T01:40:00+00:00,2026-05-22T01:40:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,C15,,2026-05-22T17:15:00+00:00,,,,,,Malaysia Airlines,MH,MAS,4270,MH4270,MAS4270,turkish airlines,tk,thy,60,tk60,thy60,,,,4BB0E1,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-05-22T01:40:00+00:00,2026-05-22T01:40:00+00:00,,,,Houari Boumediene,Africa/Algiers,ALG,DAAG,4,,,2026-05-22T03:10:00+00:00,55.0,,,,,ASL Airlines,5H,ABR,3015,5H3015,ABR3015,,,,,,,,,,39A2E0,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,2026-05-22T01:40:00+00:00,2026-05-22T01:40:00+00:00,,,,Houari Boumediene,Africa/Algiers,ALG,DAAG,4,,,2026-05-22T03:10:00+00:00,55.0,,,,,Turkish Airlines,TK,THY,9593,TK9593,THY9593,asl airlines,5h,abr,3015,5h3015,abr3015,,,,39A2E0,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,D16,,2026-05-22T01:30:00+00:00,2026-05-22T01:30:00+00:00,,,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,1,,,2026-05-22T17:15:00+00:00,,,,,,Air New Zealand,NZ,ANZ,4850,NZ4850,ANZ4850,turkish airlines,tk,thy,70,tk70,thy70,,,,4BB144,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,D16,,2026-05-22T01:30:00+00:00,2026-05-22T01:30:00+00:00,,,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,1,,,2026-05-22T17:15:00+00:00,,,,,,Hong Kong Airlines,HX,CRK,3670,HX3670,CRK3670,turkish airlines,tk,thy,70,tk70,thy70,,,,4BB144,,
2026-05-22,scheduled,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,A9,,2026-05-22T01:30:00+00:00,2026-05-22T01:30:00+00:00,,,,Taiwan Taoyuan International (Chiang Kai Shek International),Asia/Taipei,TPE,RCTP,2,D9,1,2026-05-22T17:55:00+00:00,,,,,,EVA Air,BR,EVA,3504,BR3504,EVA3504,turkish airlines,tk,thy,24,tk24,thy24,,,,4BB196,,
2026-05-22,active,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,,,3.0,2026-05-22T03:15:00+00:00,2026-05-22T03:15:00+00:00,2026-05-22T03:29:00+00:00,2026-05-22T03:29:00+00:00,2026-05-22T03:29:00+00:00,Kansai International,Asia/Tokyo,KIX,RJBB,,,,2026-05-22T07:55:00+00:00,3.0,2026-05-22T07:58:00+00:00,,,,DHL Air,D0,DHK,204,D0204,DHK204,,,,,,,,,,789281,,
2026-05-22,scheduled,,Lech Walesa,Europe/Warsaw,GDN,EPGD,,,,2026-05-22T02:00:00+00:00,2026-05-22T02:00:00+00:00,,,,Edinburgh,Europe/London,EDI,EGPH,,,,2026-05-22T03:24:00+00:00,14.0,,,,,Ryanair,FR,RYR,,FR,RYR,,,,,,,,,,4D2247,,
2026-05-22,active,,Darwin,Australia/Darwin,DRW,YPDN,,,,2026-05-22T06:15:00+00:00,2026-05-22T06:15:00+00:00,,,,Adelaide International Airport,Australia/Adelaide,ADL,YPAD,,,,2026-05-22T09:25:00+00:00,,,,,,QantasLink,,QLK,,,QLK,,,,,,,,,,7C7774,,
2026-05-22,scheduled,,Caloundra,Australia/Brisbane,CUD,YCDR,,,,2026-05-22T06:45:00+00:00,2026-05-22T06:45:00+00:00,,,,Emerald,Australia/Brisbane,EMD,YEML,,,,2026-05-22T08:30:00+00:00,,,,,,empty,,,,,,,,,,,,,,,7CB012,,
